url,title,sentiment_human,compound_score
https://www.nbcnews.com/think/opinion/biden-s-immigration-plan-must-reform-daca-cover-dreamers-whose-ncna1248885,I could be deported because my parents came here legally. Biden can change that.,-1,0.1027
https://www.nbcnews.com/news/latino/first-latino-tapped-head-dhs-signals-shift-trump-s-hard-n1248716,First Latino tapped to head DHS signals shift from Trump's hard-line immigration policies,0,0
https://www.nbcnews.com/news/asian-america/tony-pham-interim-director-immigration-customs-enforcement-step-down-n1251159,"Tony Pham, interim director of Immigration and Customs Enforcement, to step down",0,0
https://www.nbcnews.com/politics/immigration/sixty-nine-percent-undocumented-immigrant-workers-have-jobs-essential-fighting-n1251390,"More than two-thirds of undocumented immigrant workers have jobs ""essential"" to Covid fight, says study",0,-0.3818
https://www.nbcnews.com/politics/politics-news/biden-meet-workers-small-business-owners-economic-crisis-n1249668,"Biden to meet with struggling workers, small-business owners about the economic crisis - NBC News",-1,-0.7845
https://www.nbcnews.com/business/business-news/accused-hate-groups-receive-pandemic-aid-n1250474,Accused hate groups receive pandemic aid,-1,-0.7096
https://www.nbcnews.com/politics/immigration/lawyers-say-trump-admin-has-handed-over-data-will-help-n1249782,Lawyers say Trump admin has handed over data that will help reunite separated migrant families,1,0.4019
https://www.nbcnews.com/politics/immigration/28-migrant-children-their-parents-face-deportation-after-refusing-be-n1248628,28 migrant children and their parents face deportation after refusing to be separated,-1,-0.4019
https://www.nbcnews.com/news/asian-america/south-asian-women-immigrants-some-covid-front-lines-left-unable-n1251695,Visa delays leave thousands of South Asian women unable to work,-1,-0.0516
https://www.nbcnews.com/politics/immigration/advocates-mental-health-experts-pressure-biden-commit-reuniting-separated-families-n1250540,"Advocates, mental health experts pressure Biden to commit to reuniting separated families in the U.S.",0,0
https://www.nbcnews.com/news/world/rishi-sunak-u-k-finance-minister-wins-praise-staying-calm-n1234055,U.K.'s first non-white leader? Finance minister Sunak wins praise for staying calm in a crisis,1,0.6705
https://www.nbcnews.com/news/latino/best-latino-books-n1250818,12 great Latino books of 2020,1,0.6249
https://www.nbcnews.com/politics/congress/feinstein-says-she-s-stepping-down-top-democrat-senate-judiciary-n1248725,Feinstein says she's stepping down as top Democrat on Senate Judiciary Committee,0,0.2023
