url,sentiment_human,compound_score
https://www.nbcnews.com/think/opinion/biden-s-immigration-plan-must-reform-daca-cover-dreamers-whose-ncna1248885,-1,0.1027
https://www.nbcnews.com/news/latino/first-latino-tapped-head-dhs-signals-shift-trump-s-hard-n1248716,0,0
https://www.nbcnews.com/news/asian-america/tony-pham-interim-director-immigration-customs-enforcement-step-down-n1251159,0,0
https://www.nbcnews.com/politics/immigration/sixty-nine-percent-undocumented-immigrant-workers-have-jobs-essential-fighting-n1251390,0,-0.3818
https://www.nbcnews.com/politics/politics-news/biden-meet-workers-small-business-owners-economic-crisis-n1249668,-1,-0.7845
https://www.nbcnews.com/business/business-news/accused-hate-groups-receive-pandemic-aid-n1250474,-1,-0.7096
https://www.nbcnews.com/politics/immigration/lawyers-say-trump-admin-has-handed-over-data-will-help-n1249782,1,0.4019
https://www.nbcnews.com/politics/immigration/28-migrant-children-their-parents-face-deportation-after-refusing-be-n1248628,-1,-0.4019
https://www.nbcnews.com/news/asian-america/south-asian-women-immigrants-some-covid-front-lines-left-unable-n1251695,-1,-0.0516
https://www.nbcnews.com/politics/immigration/advocates-mental-health-experts-pressure-biden-commit-reuniting-separated-families-n1250540,0,0
https://www.nbcnews.com/news/world/rishi-sunak-u-k-finance-minister-wins-praise-staying-calm-n1234055,1,0.6705
https://www.nbcnews.com/news/latino/best-latino-books-n1250818,1,0.6249
https://www.nbcnews.com/politics/congress/feinstein-says-she-s-stepping-down-top-democrat-senate-judiciary-n1248725,0,0.2023
https://www.nbcnews.com/politics/immigration/judge-throws-out-trump-rules-limiting-skilled-worker-visas-n1249615,0,0
https://www.nbcnews.com/news/us-news/san-francisco-officer-who-shot-seriously-injured-suspect-who-attacked-n1250301,-1,-0.6808
https://www.nbcnews.com/news/latino/latino-catholics-commemorate-virgen-de-guadalupe-through-virtual-events-amid-n1250961,0,0
https://www.nbcnews.com/news/latino/covid-19-regulations-case-sotomayor-dissent-claps-back-supreme-court-n1249122,-1,0.5574
https://www.nbcnews.com/news/us-news/pope-installs-new-cardinals-including-first-african-american-n1249205,0,0
https://www.nbcnews.com/news/us-news/why-trump-s-immigration-legacy-could-take-time-undo-n1248800,0,0
https://www.nbcnews.com/news/latino/trump-administration-settles-immigration-suit-u-s-women-detained-after-n1248821,1,-0.5574
https://www.nbcnews.com/news/nbcblk/covid-19-racial-justice-how-2020-s-biggest-issues-influenced-n1248961,0,0.5267
https://www.nbcnews.com/news/world/australians-stranded-abroad-struggle-get-amid-pandemic-n1249318,-1,0
https://www.nbcnews.com/politics/meet-the-press/democracy-hangs-just-enough-n1248781,0,0
https://www.nbcnews.com/news/latino/mexico-s-president-one-last-world-leaders-formally-congratulate-biden-n1251295,1,0.4939
https://www.nbcnews.com/news/asian-america/lawmakers-demand-biden-include-asian-americans-pacific-islanders-cabinet-n1248715,-1,-0.128
https://www.nbcnews.com/politics/politics-news/biden-looks-susan-rice-elevate-low-profile-domestic-policy-council-n1251851,0,0
https://www.nbcnews.com/think/opinion/trump-white-house-s-census-power-grab-hard-supreme-court-ncna1249612,-1,-0.7964
https://www.nbcnews.com/news/latino/covid-job-losses-devastate-domestic-workers-who-are-largely-unseen-n1251407,-1,-0.7906
https://www.nbcnews.com/politics/immigration/federal-judge-reinstates-daca-orders-trump-quickly-accept-new-applicants-n1250081,0,0.6124
https://www.nbcnews.com/news/latino/did-trump-draw-out-new-latino-republican-voter-bloc-florida-n1248577,0,0
https://www.nbcnews.com/politics/congress/who-will-replace-kamala-harris-u-s-senate-california-governor-n1250975,0,0
https://www.nbcnews.com/news/asian-america/how-asian-american-1st-time-voters-who-helped-flip-gop-n1251175,1,0.34
https://www.nbcnews.com/news/asian-america/how-pandemic-threatens-destroy-america-s-three-remaining-japantowns-n1251290,-1,-0.7269
https://www.nbcnews.com/news/latino/no-choice-except-flee-after-back-back-hurricanes-central-americans-n1249993,-1,-0.296
https://www.nbcnews.com/feature/nbc-out/member-hungary-s-anti-lgbtq-government-resigns-after-fleeing-alleged-n1249593,-1,0.1027
https://www.nbcnews.com/news/us-news/dozens-rescued-human-smuggling-operation-houston-police-say-n1249970,-1,-0.0772
https://www.nbcnews.com/news/us-news/driver-arrested-after-plowing-new-york-city-protesters-injuring-6-n1250993,-1,-0.6124
https://www.nbcnews.com/politics/white-house/bypassing-mcconnell-democrats-push-biden-aggressively-use-executive-power-n1248457,-1,-0.3182
https://www.nbcnews.com/politics/supreme-court/supreme-court-puts-ruling-trump-census-case-exclude-undocumented-immigrants-n1251109,0,0.4019
https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1249379,0,0.4767
https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1249351,0,0
https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1249575,0,0
https://www.nbcnews.com/politics/supreme-court/supreme-court-skeptical-trump-s-plan-exclude-undocumented-immigrants-census-n1249373,0,0.1027
https://www.nbcnews.com/politics/supreme-court/supreme-court-set-hear-arguments-trump-plan-exclude-undocumented-immigrants-n1249129,0,0
https://www.nbcnews.com/news/world/modeling-agent-jean-luc-brunel-arrested-paris-epstein-probe-n1251589,-1,-0.4767
https://www.nbcnews.com/politics/elections/trump-s-false-fraud-claims-are-laying-groundwork-new-voting-n1250059,-1,-0.6369
https://www.nbcnews.com/news/us-news/mental-health-care-has-become-even-more-crucial-traumas-2020-n1251755,0,0.2732
https://www.nbcnews.com/politics/meet-the-press/trump-trying-overturn-election-he-didn-t-win-we-didn-n1248363,0,-0.631
https://www.nbcnews.com/news/latino/despite-pandemic-pop-school-u-s-asylum-seekers-seeing-success-n1249687,1,0.5719
https://www.nbcnews.com/news/latino/mistrust-disinformation-among-latinos-covid-vaccine-worries-hispanic-doctors-n1251636,-1,-0.4215
https://www.nbcnews.com/feature/nbc-out/biden-administration-track-be-most-lgbtq-inclusive-u-s-history-n1250010,0,0
https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1248813,0,0
https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1250221,1,0.2023
https://www.nbcnews.com/politics/2020-election/huge-catastrophe-democrats-grapple-congressional-state-election-losses-n1248529,-1,-0.1027
https://www.nbcnews.com/news/latino/calls-caravans-cartoons-groups-target-georgia-latinos-ahead-senate-runoffs-n1250077,0,0
https://www.nbcnews.com/think/opinion/trump-covid-19-racism-taught-me-stop-being-nice-embrace-ncna1248856,-1,-0.7003
https://www.nbcnews.com/tech/tech-news/paper-beats-app-vaccine-verification-will-likely-be-proven-offline-n1250569,0,-0.128
https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1249535,0,0
https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1250011,-1,-0.5859
https://www.nbcnews.com/news/latino/acclaimed-latina-journalist-maria-hinojosa-laid-it-all-out-her-n1248393,1,0
https://www.nbcnews.com/think/opinion/now-we-have-covid-vaccine-we-can-t-let-immigration-ncna1251146,0,0
https://www.nbcnews.com/politics/meet-the-press/blog/meet-press-blog-latest-news-analysis-data-driving-political-discussion-n988541/ncrd1250238,0,0
https://www.nbcnews.com/news/us-news/live-blog/2020-11-30-covid-updates-n1249315/ncrd1249338,0,0.0772
https://www.nbcnews.com/news/us-news/live-blog/2020-11-30-covid-updates-n1249315/ncrd1249342,-1,-0.296
https://www.nbcnews.com/news/us-news/live-blog/2020-11-30-covid-updates-n1249315/ncrd1249347,0,0
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251517,-1,0
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251490,-1,-0.4588
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251522,0,0.5574
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251509,0,0
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251502,-1,-0.765
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251507,-1,0
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251513,-1,-0.3818
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251527,-1,0
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251488,0,-0.3612
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251494,-1,-0.6249
https://www.nbcnews.com/news/us-news/live-blog/2020-12-16-covid-live-updates-vaccine-news-n1251352/ncrd1251501,0,0
https://www.nbcnews.com/news/us-news/live-blog/2020-11-30-covid-updates-n1249315/ncrd1249328,0,0
https://www.foxnews.com/politics/biden-obama-third-term-comparisons,0,0
https://www.foxnews.com/politics/biden-says-hell-push-pathway-to-citizenship-for-over-11-million-undocumented-people-in-first-100-days,0,0
https://www.foxnews.com/politics/tom-cotton-biden-appointments-return-obama-disastrous-foreign-policy,-1,0
https://www.foxnews.com/politics/blm-raising-500k-to-back-ossoff-warnock-in-georgia-senate-race,0,0
https://www.foxnews.com/opinion/biden-illegal-immigration-james-carafano,-1,-0.5719
https://www.foxnews.com/politics/flashback-joe-biden-constant-unrelenting-immigration,-1,0.4939
https://www.foxnews.com/politics/live-updates-georgia-senate-12-16-2020,-1,-0.5574
https://www.foxnews.com/politics/new-york-cuomo-signs-protect-our-courts-ice-arrests-undocumented,-1,-0.0772
https://www.foxnews.com/politics/ice-chief-tony-pham-resign-year,-1,-0.34
https://www.foxnews.com/politics/fears-border-surge-biden-immigration-policies,-1,-0.1027
https://www.foxnews.com/us/san-jose-mayor-police-chief-county-change-sanctuary-city-policy,0,0
https://www.foxnews.com/politics/texas-rep-elect-tony-gonzales-border-district,1,0.5574
https://www.foxnews.com/politics/ossoff-ice-illegal-immigrants-paid-minimum-wage,-1,-0.3182
https://www.foxnews.com/us/deportation-ex-nazi-prison-guard-tennessee-upheld,-1,-0.5106
https://www.foxnews.com/us/ice-deports-russian-fugitive-attempted-murder-convicted-wire-fraud-scheme,-1,-0.8591
https://www.foxnews.com/opinion/daca-trump-preserved-trump-biden-ali-noorani,1,0.3818
https://www.foxnews.com/politics/ice-operation-illegal-immigrants-criminal-charges-convictions,-1,-0.5574
https://www.foxnews.com/opinion/alejandro-mayorkas-homeland-security-art-acevedo,1,0.6486
https://www.foxnews.com/politics/illegal-immigrants-ice-detention-re-arrested,-1,-0.5267
https://www.foxnews.com/us/this-day-in-history-nov-30,0,0
https://www.foxnews.com/us/california-ice-detainer-child-murderer,-1,-0.6808
https://www.foxnews.com/opinion/biden-border-crisis-covid-spread-tom-homan,-1,-0.6249
https://www.foxnews.com/us/honduran-migrant-caravan-heading-to-us-could-be-early-test-for-biden-reports,0,0
https://www.foxnews.com/us/ice-removes-deported-mexican-convicted-luring-disabled-child,-1,0
https://www.foxnews.com/politics/border-numbers-cbp-chief-crisis-policies,-1,-0.4215
https://www.foxnews.com/opinion/immigration-trump-division-ali-noorani,1,0.6249
https://www.foxnews.com/us/san-jose-church-stabbing-immigrant-deported,-1,-0.296
https://www.foxnews.com/politics/live-updates-senate-11-26-2020,0,0
